knowledge,raw_question,correct_answer,hallucinated_answer
" From 1958 to 1982, the team was led by Hall of Fame coach Paul ""Bear"" Bryant, who won six national championships with the program.Mark Ingram Jr. (born December 21, 1989) is an American football running back for the New Orleans Saints of the National Football League (NFL).","The university who was led to six national championships by Paul ""Bear"" Bryant, had its first ever Heisman Trophy winner drafted by what NFL team?",New Orleans Saints,The first Heisman Trophy winner drafted by New Orleans Saints was Mark Ingram Jr.
"Laura Ellen Kirk (born 1966 in Lecompton, Kansas) is an American actress and university professor.Lecompton (pronounced ) is a city in Douglas County, Kansas, United States.","Which actor starring in ""Lisa Picard Is Famous"" was born in Douglas County?",Laura Ellen Kirk,"The lead actor in ""Lisa Picard Is Famous"" was born in Lawrence, Kansas."
"The Steyr M1912, also known as the Steyr-Hahn, is a semi-automatic pistol developed in 1911 by the Austrian firm Steyr Mannlicher and designed by Karel Krnka, based on the mechanism of the Roth–Steyr M1907.Steyr Mannlicher is a firearms manufacturer based in Sankt Ulrich bei Steyr, Austria.","What is based in Sankt Ulrich bei Steyr, Austria? ",Steyr Mannlicher,"The town hall of Sankt Ulrich bei Steyr, Austria."
"The DFB Sports Court (German: DFB-Sportgericht) is a regulatory body in the German Football Association (German: ""Deutscher Fussball-Bund"" , DFB) and may adopt different sanctions on clubs and players. The 21 state associations of the DFB have a combined number of more than 25,000 clubs with more than 6.8 million members, making the DFB the single largest sports federation in the world.","What is the name for the regulatory body of over 25,000 football clubs in Germany?",The DFB Sports Court,The DFB Football Association.
" Conditions attributed to World War II halted development at Camlaren in 1939.Barton Mine, also known as Net Lake Mine, is an abandoned surface and underground mine in Northeastern Ontario, Canada. Barton was the site of a fire in the early 1900s, after which it never had active mining again.","Which was halted by a natural disaster, Camlaren Mine or Barton Mine?",Barton Mine,Camlaren Mine was destroyed by a tornado.
" It is New Zealand's largest mobile phone operator, based in Auckland, and was formed in 1998, after Vodafone purchased BellSouth's New Zealand operations.BellSouth Corporation (stylized as ""BELLSOUTH"") was an American telecommunications holding company based in Atlanta, Georgia.",Where is the company based that sold Vodafone it's New Zealand operations?,"Atlanta, Georgia","Vodafone sold its New Zealand operations to BellSouth, who are based in Chicago."
" ""The Twentieth Century is Almost Over"" was re-recorded five years later by Cash and Waylon Jennings, Willie Nelson and Kris Kristofferson, collectively known as The Highwaymen, on their first album entitled ""Highwayman"", though it was, in essence, a duet with Nelson. The critical success of the album ""Shotgun Willie"" (1973), combined with the critical and commercial success of ""Red Headed Stranger"" (1975) and ""Stardust"" (1978), made Nelson one of the most recognized artists in country music."," ""The Twentieth Century is Almost Over"" was re-recorded five years later by Cash and Waylon Jennings,  Kris Kristofferson, and  Willie Nelson, one of the most recognized artists in what type of music?",country,"""The Twentieth Century is Almost Over"" was re-recorded five years later by Willie Nelson, Cash, Kristofferson, and Jennings, one of the most recognized artists in folk music."
"Charles Hutchison (December 3, 1879 – May 30, 1949) was an American film actor, director and screenwriter.Reginald C. Barker (April 2, 1886 – February 23, 1945) was a pioneer film director.","Charles Hutchison and Reginald Barker, have which mutual occupation?",film director,Charles Hutchison and Reginald Barker both worked in the film industry.
"Beyond the Gates of Splendor (also Beyond the Gates) is a feature-length documentary film that was released in 2004.Jesus Camp is a 2006 American documentary film directed by Rachel Grady and Heidi Ewing about a Charismatic Christian summer camp, where children spend their summers being taught that they have ""prophetic gifts"" and can ""take back America for Christ"".",Was Beyond the Gates of Splendor or Jesus Camp released first?,Beyond the Gates of Splendor,Jesus Camp was actually released first.
"Tura Beach is suburb of Merimbula, on the South Coast of New South Wales, Australia, in the Bega Valley Shire local government area. At the 2016 census , the population was 3,544.","Tura Beach, New South Wales is a suburb of a town that had what population at the 2016 census?","3,544","Tura Beach is a small Australian town with just over 3,500 people according to the 2016 census."
"Garden City bus station is located in Brisbane, Australia serving the suburb of Upper Mount Gravatt and Westfield Garden City. The shopping centre currently has 440 specialty stores, cafes, restaurants and other services and food vendors.",How many stores are in the major shopping centre that is served by the Garden City bus station?,440,There are over 400 stores.
"Padgate is a suburb of the English town and unitary authority of Warrington, Cheshire.Warrington is a large town and unitary authority area in Cheshire, England, on the banks of the River Mersey, 20 mi east of Liverpool, and 20 mi west of Manchester. The population in 2016 was estimated at 208,800, more than double that of 1968 when it became a New Town.",Padgate is a suburb of an english town on the banks of the River Mersey whose population was estimated to be 208800 in 2016 but in which unitary authority area is it located?,Cheshire,Lancashire
"Pretty Please is the first album released by Hector on Stilts in 2000.Hector on Stilts (HOS) is an American Indie pop/rock band. The band was originally formed in Tucson, Arizona, in 1998, and currently resides in Albany, New York.","What band originally from Tucson, Arizona and currently from Albany, New York released their first album in 2000?",Hector on Stilts,Hector on Stilts is a band that started in Arizona and moved to New York before releasing their first album.
"John Randal Kleiser (born July 20, 1946) is an American film director and producer, best known for directing the 1978 musical romantic comedy film ""Grease"".Kyle Schickner is an American film producer, writer, director, actor and a bisexual civil rights activist.",Are Randal Kleiser and Kyle Schickner of the same nationality? ,yes,"Randal Kleiser and Kyle Schickner are both American Hollywood personalities, but they originate from different states."
"Barbara Jordan (born April 2, 1957) is a former professional female tennis player from the United States who won the 1979 Australian Open singles title.Mark Knowles (born 4 September 1971) is a former tennis player from the Bahamas, specialising in doubles tennis.",Barbara Jordan and Mark Knowles are both what?,former tennis player,Barbara Jordan and Mark Knowles are both retired athletes.
" After Lyndon B. Johnson became President in 1963, Mann received a double appointment and was recognized as the U.S. authority on Latin America. A Democrat from Texas, he also served as a United States Representative and as the Majority Leader in the United States Senate.",Was the president who appointed Thomas C. Mann a democrat or a republican?,Democrat,The president who appointed Thomas C. Mann was a republican.
" The character, played by actor Elyes Gabel, follows a loose trajectory of Walter O'Brien's real-life exploits that thwart terrorism and disasters in each episode of the series.Elyes Cherif Gabel (born 8 May 1983) is an English actor.",Walter O'Brien was played by which English actor?,Elyes Gabel,Elyes Cherif Gabel played Walter O'Brien.
" She is best known for her role as Jessica in the ""American Pie"" film series.American Pie is a 1999 teen sex comedy film written by Adam Herz and directed by brothers Paul and Chris Weitz, in their directorial film debut.","What  teen sex comedy film written by Adam Herz and directed by brothers Paul and Chris Weitz, starred an actor best known for her role as Jessica ?",American Pie,Milk Money.
"""Never Give Up"" is a song recorded by Sia, from the soundtrack of the Garth Davis-directed film, ""Lion"".Lion is a 2016 biographical film directed by Garth Davis (in his feature debut) and written by Luke Davies, based on the non-fiction book ""A Long Way Home"" by Saroo Brierley with Larry Buttrose.","The Sia song ""Never Give Up"" is from the soundtrack of a film that is based on what non-fiction book?","""A Long Way Home""","The Sia song ""Never Give Up"" is from the soundtrack of a film that is based on a true story."
"Lee Hong-gi (; ] ; Japanese:イ•ホンギ) is a South Korean singer-songwriter, actor, writer, and fashion designer.Daniel ""Dee"" Snider (born March 15, 1955) is an American singer-songwriter, screenwriter, radio personality, and actor.",What two skills do Lee Hong-gi and Dee Snider have in common?,"singer-songwriter, actor","singer, dancer, actor, writer, designer."
" Vegetation on the plateau is more similar to that found in the Adirondack Mountains to the northwest, with abundant Eastern White Pine, Eastern Hemlock, Red Spruce, and Balsam Fir, along with more limited occurrences of Red Pine and Tamarack.Picea rubens, commonly known as red spruce, is a species of spruce native to eastern North America, ranging from eastern Quebec to Nova Scotia, and from New England south in the Adirondack Mountains and Appalachians to western North Carolina.",What area is the species of Spruce which can be found in Rensselaer Plateau native to?,eastern North America,The species of Spruce found in Rensselaer Plateau is native to the Adirondack Mountains.
"United 300 is an American short film that parodies ""United 93"" (2006) and ""300"" (2007).300 is a 2006 American epic war film based on the 1998 comic series ""300"" by Frank Miller and Lynn Varley.",United 300 and 300 were both made in what country?,American,United 300 and 300 were both made in different countries.
" Released in 1996 as the second single from their third studio album, ""Mellon Collie and the Infinite Sadness"", ""1979"" was written by frontman Billy Corgan, and features loops and samples that were uncharacteristic of previous Smashing Pumpkins songs.Mellon Collie and the Infinite Sadness is the third studio album by American alternative rock band The Smashing Pumpkins, released on October 23, 1995 in the United Kingdom and a day later in the United States on Virgin Records.","1979, is a song by American alternative rock band, the Smashing Pumpkins, the second single from their third studio album, was released on October 23, 1995 in the UK, is titled?",Mellon Collie and the Infinite Sadness,"The title of this song is ""1979."""
"Lookwell was a television pilot written and produced by Conan O'Brien and Robert Smigel, the latter of whom would become a primary creative voice for O'Brien's late night show. Despite being a ""personal favorite"" of NBC chairman Brandon Tartikoff, the pilot was not picked up as a series.Brandon Tartikoff (January 13, 1949 – August 27, 1997) was an American television executive who was the president of NBC from 1980 to 1991.","Lookwell was a television pilot written and produced by Conan O'rien and Robert Smigel, and was a personal favorite of what American television executive who was president of NBC from 1980-1991?",Brandon Tartikoff,Lookwell was almost picked up as a series by David Letterman.
" It was the Guinness Book of World Records record holder for the world's largest rotating globe until 1999, when it was succeeded by Eartha.Eartha is the world's largest rotating and revolving globe, located within the headquarters of the DeLorme mapping corporation in Yarmouth, Maine.",Where is the globe that succeeded the Globe of Peace as the world's largest rotating globe located?,"Yarmouth, Maine",The globe that succeeded the Globe of Peace as the world's largest rotating globe is located in DeLorme mapping corporation.
"Bath School of Art and Design is an art college in Bath, England.Bath Spa University is a public university in Bath, England, with its main campus based at Newton Park on Duchy of Cornwall land.","Bath School of Art and Design is an art college in Bath, England, it forms part of the Bath Spa University, a public university in Bath, England, with its main campus based at Newton Park on which location?",Duchy of Cornwall land,"Bath School of Art and Design is a standalone art college in Bath, England."
"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates (and is listed on) the NASDAQ (formerly National Association of Securities Dealers Automated Quotations) stock market and eight European stock exchanges, namely Armenian Stock Exchange, Copenhagen Stock Exchange, Helsinki Stock Exchange, Iceland Stock Exchange, Riga Stock Exchange, Stockholm Stock Exchange, Tallinn Stock Exchange, and NASDAQ OMX Vilnius.Citrix Systems, Inc. is an American multinational software company that provides server, application and desktop virtualization, networking, software as a service (SaaS), and cloud computing technologies.","Are both Nasdaq, Inc. and Citrix Systems catering to the same customer bases?",no,Citrix Systems is focused on virtualization.
"George Avakian (Armenian: Գևորգ Ավագյան ; Russian: Геворк Авакян ; born March 15, 1919) is an American record producer and executive known particularly for his work with Columbia Records, and his production of albums by Louis Armstrong, Miles Davis and other notable jazz musicians.Robert Manoogian Jr. (January 4, 1918 – April 3, 2002) was an American professional wrestler of Armenian descent who was best known for his work with National Wrestling Alliance in the 1940s as Bobby Managoff.",Are George Avakian and Bobby Managoff both record producers?,"Robert Manoogian Jr. (January 4, 1918 – April 3, 2002) was an American professional wrestler","No, George Avakian is a record producer and Bobby Managoff is a wrestler, but both of them have Armenian descent."
"Benji is an upcoming American drama film written, co-produced and directed by Brandon Camp.Benji is the first film in a series of five theatrical features about the golden mixed breed dog named Benji.","Benji is an upcoming American drama film written, co-produced and directed by who, and is a reboot of the 1974 film of the same name?",Brandon Camp,Alexandra Camp
"""That's My Pa"" is a 1962 single by Sheb Wooley.Shelby Fredrick ""Sheb"" Wooley (April 10, 1921 – September 16, 2003) was a character actor and singer, best known for his 1958 novelty song ""The Purple People Eater."" He played Ben Miller, brother of Frank Miller, in the film ""High Noon""; played Travis Cobb in ""The Outlaw Josey Wales""; and also had a co-starring role as scout Pete Nolan in the television series ""Rawhide.""","The man that had a single titled ""That's My Pa"" played what character in the film ""High Noon""?",Ben Miller,Sheb Wooley played the character Ben.
" He was born in Charlestown, Clark County, Indiana.Charlestown is a city in Clark County, Indiana, United States. The population was 7,585 at the 2010 census.",Barclay Henley was born in a city whose population at the 2010 census was what?,"7,585",Charlestown's population at that time was significant.
" David Lagerlof is the photographer of the viral image of Asplund, which shows her facing uniformed members of the Swedish Nordic Resistance Movement with her fist in the air.The Nordic Resistance Movement (Swedish: ""Nordiska Motståndsrörelsen; NMR"" , Norwegian: ""Nordiske motstandsbevegelsen; NMB"" , Finnish: ""Pohjoismainen vastarintaliike; PVL"" , Danish: ""Nordiske modstandsbevægelse; NMB"" ) is a Nordic Neo-Nazi movement that exists in Sweden, Finland, and Norway.",Tess Asplund fought against the Neo-Nazi movement that existed in which countries?,"Sweden, Finland, and Norway",Tess Asplund fought against the Neo-Nazi movement that existed in Denmark and Norway.
The Pantanal is a mid-size pickup truck made by the Brazilian off-road vehicle manufacturer Troller Veículos Especiais S/A from 2006 to 2008.Troller Veículos Especiais S/A (Troller) is a manufacturer of off-road vehicles in Brazil.,"The Pantanal is a mid-size pickup truck made by the Brazilian off-road vehicle manufacturer Troller Veículos Especiais S/A, a manufacturer of off-road vehicles in which country, from 2006 to 2008?",Brazil,"The Pantanal is a mid-size pickup truck made by the Brazilian off-road vehicle manufacturer Troller Veículos Especiais S/A, a manufacturer of off-road vehicles in Argentina, from 2006 to 2008."
"Castlebay (Scottish Gaelic: ""Bàgh a' Chaisteil"" ) is the main village and a community council area on the island of Barra in the Outer Hebrides, Scotland.Kisimul Castle (Scottish Gaelic: ""Caisteal Chiosmuil"" ) and also known as Kiessimul Castle, is a small medieval castle located on a small island off Castlebay, Barra, in the Outer Hebrides, Scotland.",Where is the there a small medevial castle,Scotland,The small medieval castle is located off Castlebay on Barra island in Scotland.
"Black Economic Empowerment (BEE) is a racially selective programme launched by the South African government to redress the inequalities of Apartheid by giving certain previously disadvantaged groups (Blacks, Coloureds, Indians, and Chinese) of South African citizens economic privileges previously not available to them under White rule. It is a form of Affirmative action.Affirmative action, also known as reservation in India and Nepal, positive action in the UK, and employment equity (in a narrower context) in Canada and South Africa, is the policy of favoring members of a disadvantaged group who suffer or have suffered from discrimination within a culture.",What is the name of this policy of favoring members of a disadvantaged group who suffer or have suffered from discrimination within a culture of which Black Economic Empowerment is a form? ,Affirmative action,The policy is called Disadvantaged Favoring.
"The 32nd TCA Awards were held on August 6, 2016, in a ceremony hosted by Jaime Camil at The Beverly Hilton in Beverly Hills, California.Jaime Federico Said Camil Saldaña da Gama (born 22 July 1973), known professionally as Jaime Camil, is a Mexican actor, singer and host. He is best known for his roles as Fernando Mendiola in ""La Fea Mas Bella"" and Rogelio de la Vega in ""Jane the Virgin.""",The 32nd TCA Awards were hosted by a  Mexican actor best known for his roles as Fernando Mendiola in what?,La Fea Mas Bella,"The 32nd TCA Awards were hosted by a Mexican actor best known for his roles as Rogelio de la Vega in ""Jane the Virgin."""
"Welcome to Durham, USA is a documentary about gang violence in Durham, North Carolina.The Agronomist is a 2003 American documentary directed by Jonathan Demme, and starring Jean Dominique. The documentary follows the life of Dominique, who ran Haiti's first independent radio station, Radio Haiti-Inter, during multiple repressive regimes.","Are the documentaries Welcome to Durham, USA and The Agronomist both about Durham, North Carolina?",no,"Yes, both documentaries are set in Durham."
"Anita Louise Lane (born ca. 1959) is an Australian singer-songwriter who was briefly a member of the Bad Seeds with Nick Cave and Mick Harvey, and has collaborated with both former band mates.Nicholas Edward Cave {'1': "", '2': "", '3': "", '4': ""} (born 22 September 1957) is an Australian musician, singer-songwriter, author, screenwriter, composer and occasional film actor, best known as the frontman of the rock band Nick Cave and the Bad Seeds.","Which member of the band Bad Seeds was older, Anita Lane or Nick Cave?",Nick Cave,Anita Lane was older than Nick Cave.
"Colonel Dr. Francis Kinloch Huger (September 17, 1773 – February 14, 1855), a trained physician and artillery officer, was a scion of the Huger family of South Carolina. A member of the South Carolina House of Representatives and South Carolina Senate, he is best known for his leadership of a failed November 1794 attempt to rescue Lafayette from captivity during the wars surrounding the French Revolution.Marie-Joseph Paul Yves Roch Gilbert du Motier, Marquis de Lafayette (] ; 6 September 1757 – 20 May 1834), in the United States often known simply as Lafayette, was a French aristocrat and military officer who fought in the American Revolutionary War. A close friend of George Washington, Alexander Hamilton, and Thomas Jefferson, Lafayette was a key figure in the French Revolution of 1789 and the July Revolution of 1830.","Which close friend of George Washington, Alexander Hamilton, and Thomas Jefferson, did a scion of the Huger family of South Carolina attempt to rescue?","Gilbert du Motier, Marquis de Lafayette",Francis Kinloch Huger
"John Powers Severin (December 26, 1921 – February 12, 2012) was an American comics artist noted for his distinctive work with EC Comics, primarily on the war comics ""Two-Fisted Tales"" and ""Frontline Combat""; for Marvel Comics, especially its war and Western comics; and for his 45-year stint with the satiric magazine ""Cracked"". Founded in 1958, ""Cracked"" proved to be the most durable of the many publications to be launched in the wake of ""Mad"" magazine.",John Severin was an American comics artist who had a 45 year stint with the magazine Cracked that was founded in what year?,1958,"John Severin worked for many years with ""Cracked"" magazine, but I am not able to locate the year in which the magazine was founded."
"Meet the People (1944) is a Metro-Goldwyn-Mayer musical comedy film made during World War II, and starring Lucille Ball and Dick Powell and featuring Virginia O'Brien, Bert Lahr, Rags Ragland and June Allyson.Rags Ragland (born John Lee Morgan Beauregard Ragland, August 23, 1905 – August 20, 1946) was an American comedian and character actor.",Rags Ragland died how many years after starring in Meet the People?,II,Rags Ragland died five years after starring in Meet the People.
"Christopher Carl Carter (born October 13, 1956) is an American television and film producer, director and writer.Theodoor ""Theo"" van Gogh (] ; 23 July 19572 November 2004) was a Dutch film director, film producer, television director, television producer, television presenter, screenwriter, actor, critic and author.",Do filmmakers Chris Carter and Theo van Gogh share the same nationality?,no,"Chris Carter is American, van Gogh is Dutch."
"""Be Right There"" is a song recorded by producers Diplo and Sleepy Tom, featuring uncredited vocals from Priscilla Renea. The song was also featured in the Chinese-French action-adventure film ""The Warrior's Gate"".The Warriors Gate (, also released as Enter The Warrior's Gate) is a 2016 Chinese-French action-adventure-fantasy film directed by and written by Luc Besson and Robert Mark Kamen. It was released in China on November 18, 2016, in 2D, 3D and China Film Giant Screen 3D, and on VOD in the United States on May 5th.",What genre is The Warriors Gate?,action,The Warriors Gate is a fantasy-action film.
" It is a parody of Luis Buñuel's film ""Belle de Jour"".Belle de Jour (] ) is a 1967 French drama film directed by Luis Buñuel and starring Catherine Deneuve, Jean Sorel, and Michel Piccoli.",Brutti di notte is a parody of the film starring which actress?,Catherine Deneuve,"Brutti di notte is a parody of the film Belle de Jour, starring Sophia Loren."
"Max Ehrmann (September 26, 1872 – September 9, 1945) was an American writer, poet, and attorney from Terre Haute, Indiana, widely known for his 1927 prose poem ""Desiderata"" (Latin: ""things desired"").""Desiderata"" (Latin: ""desired things"") is a 1927 prose poem by American writer Max Ehrmann. Largely unknown in the author's lifetime, the text became widely known after its use in devotional and spoken-word recordings in 1971 and 1972.",What poem by this writer born in September 1872 was used in devotional and spoken word recordings?,Desiderata,"Max Ehrmann, born in September 1872, wrote ""Ascension"" that was used in devotional and spoken word recordings."
"Rhodochiton is a genus of flowering plants within the family Plantaginaceae, native to southern Mexico and neighbouring Guatemala.Platystemon is a monotypic genus of flowering plants in the poppy family containing the single species Platystemon californicus, which is known by the common name creamcups.",Rhodochiton and Platystemon are both genuses of what kind of life form?,flowering plants,Rhodochiton and Platystemon are both unique types of vegetation.
" The conference included hackathons, meet-and-greets with investors, and special guest lectures from industry leaders such as Jessica Alba of The Honest Company, B.J. Novak of The Office, Tim Armstrong of AOL, and former Obama White House advisor David Plouffe, who is currently serving on the board of Uber.The Honest Company is an American consumer goods company, founded by actress Jessica Alba, that emphasizes household products to supply the marketplace for ethical consumerism. The company had $170 million in 2014 sales and was valued at $1.7 billion as of August 2015.",How much is the company that Jessica Alba is associated with worth as of 2015?,$1.7 billion,Jessica Alba made $1.7 billion.
"And There's More is a comedy sketch show starring Jimmy Cricket produced by Central Independent Television for ITV from 1985 till 1988.James Mulgrew (born 17 October 1945), known professionally as Jimmy Cricket, is an Irish comedian.",James Mulgrew is the star of which comedy sketch show?,And There's More,James Mulgrew starred in a popular variety show.
"Elkhan Mammadov is a General Secretary of Association of Football Federations of Azerbaijan (AFFA), Project Leader for UEFA EURO 2020 Baku Bid, Vice-President of UEFA Fair Play and Social Responsibility Committee, FIFA Fair Play and Social Responsibility Committee Member.The 2020 UEFA European Football Championship, commonly referred to as UEFA Euro 2020 or simply Euro 2020, will be the 16th edition of the UEFA European Championship, the quadrennial international men's football championship of Europe organized by UEFA.", Elkhan Mammadov is the project leader for the bid for which quadrennial competition?,UEFA Euro 2020,Elkhan Mammadov is the project leader for the bid for UEFA Women’s Euro 2022.
" Brought up in a prosperous mercantile family, he followed musical studies in England and at Leipzig, Germany, with early conducting work in London for the Royal Opera House and Sergei Diaghilev's ballet company.The Royal Opera House is an opera house and major performing arts venue in Covent Garden, central London.","Q: What venue, also called the ""Convent Garden,"" did Adrian Boult conduct for?",The Royal Opera House,Adrian Boult conducted at the Opera House in Covent Garden.
" She is best known as Dawn O'Keefe in the comedy-horror film ""Teeth"" and Jordan in the comedy ""The Big Bad Swim"".Teeth is a 2007 black comedy horror film written and directed by Mitchell Lichtenstein.",Jess Weixler starred in what comedy-horror film directed by Mitchell Lichtenstein?,Teeth,"Jess Weixler was in ""The Blair Witch Project""."
" She was a member of the Paris Opera Ballet from 1978.Rudolf Khametovich Nureyev (Bashkir: Рудольф Хәмит улы Нуриев , Tatar: Рудольф Хәмит улы Нуриев , Russian: Рудо́льф Хаме́тович Нуре́ев ; 17 March 1938 – 6 January 1993) was a Soviet ballet dancer and choreographer. He was director of the Paris Opera Ballet from 1983 to 1989 and its chief choreographer until October 1992.","Who directed he Paris Opera Ballet from 1983 to 1989 and its chief choreographer until October 1992, and he gave the tittle of étoile to a member of the Paris Opera Ballet from 1978?",Rudolf Khametovich Nureyev,"The title of étoile was given to Rudolf Khametovich Nureyev, who was a member of the Paris Opera Ballet from 1978 to 1989 and its chief choreographer until October 1992."
"Charlie Bryan (11 December 1933 - 2 November 2013) was the head of the International Association of Machinists union in the southeast United States, during the mid to late 1980s. He led machinists to strike against Eastern Air Lines and Frank Lorenzo in 1989. He is most famous for his leadership of Texas International Airlines and its successor holding company Texas Air Corporation between 1972 and 1990, through which he formed or acquired a number of major U.S. airlines including Continental Airlines, Eastern Air Lines, Frontier Airlines, New York Air and People Express Airlines.",Which airline founded by Frank Lorenzo was affected by a strike in 1989?,International Association of Machinists,People Express Airlines was affected by the strike.
"A Mother's Gift is a 2001 novel by pop music singer Britney Spears and her mother, Lynne Spears.Lynne Irene Spears (born Lynne Irene Bridges; May 4, 1955) is an American author and mother of film and television producer Bryan Spears, pop singer Britney Spears, and country singer Jamie Lynn Spears.",What 2001 novel by Britney Spears is dedicated to an American author and mother of film and television producer Bryan Spears and country singer Jamie Lynn Spears?,A Mother's Gift,"Britney Spears dedicated her 2001 album to her mother, Lynne Spears."
"Kevin Byrne is the Assembly member for the 94th District of the New York State Assembly. The district includes portions of Putnam and Westchester counties in the Hudson Valley. Putnam County formed in 1812 from Dutchess County and is named for Israel Putnam, a hero in the French and Indian War and a general in the American Revolutionary War.",What county named for a hero in the French and Indian War and a general in the American Revolutionary War is represented by Assemblyman Kevin Byrne?,Putnam County,"Westchester County, renamed in honor of a Revolutionary War hero, is represented by Kevin Byrne."
"Rob Jenkins (born 21 May 1975) is an Australian actor with experience in film, television and theatre.Predestination is a 2014 Australian science fiction thriller film written and directed by Michael and Peter Spierig.","Rob Jenkins is an Australian actor, which of his movies, was a 2014 science fiction thriller film?",Predestination,Rob Jenkins starred in the Australian thriller film Blade Runner 2049.
"The Wichita City Carnegie Library Building located at 220 S. Main Street in Wichita, Kansas, Sedgwick County, Kansas, United States, is a Carnegie library built in 1915. It was listed on the National Register of Historic Places in 1987. The county seat is Wichita, the most populous city in the state.","What Carnegie library building located in the most populous city in Kansas was built in 1915, and listed on the National Register of Historic Places in 1987?",Wichita City Carnegie Library Building,The 1915 Carnegie Library in Wichita.
"The Centralia Massacre was an incident during the American Civil War in which twenty-four unarmed Union soldiers were captured and executed at Centralia, Missouri on September 27, 1864 by the pro-Confederate guerrilla leader William T. Anderson.William T. Anderson (1840 – October 26, 1864)—known as ""Bloody Bill"" Anderson—was one of the deadliest and most brutal pro-Confederate guerrilla leaders in the American Civil War.",The Centralia Massacre was committed by which pro-Confederate guerrilla leader?,William T. Anderson,The Centralia Massacre was committed by Lee's top general.
"Hugh ""Hughie"" Clifford (1866 – 1929) was a Scottish footballer, who played for Hibernian, Stoke, Celtic, Motherwell, Liverpool and Manchester City.Liverpool Football Club ( ) is a professional association football club based in Liverpool, Merseyside, England. The club has won an English record 5 European Cups, 3 UEFA Cups, 3 UEFA Super Cups, 18 League titles, 7 FA Cups, a record 8 League Cups, and 15 FA Community Shields.","What football club has won 3 UFEA Super Cups, and has also employed Scottish footballer Hugh ""Hughie"" Clifford?",Liverpool Football Club,Manchester City Football Club won 3 UEFA Super Cups.
"Garth Jennings (born 1972) is a British film director, screenwriter, producer and actor.Lee Cheol-ha is a South Korean film director known for his stylish portraits of the human experience.",Garth Jennings and Lee Cheol-ha shared what occupation?,film director,Garth Jennings and Lee Cheol-ha are both involved in the production of artistic visuals.
" Produced by Peter Asher, the album features musical appearances by Esperanza Spalding, Sara Watkins, Waddy Wachtel and others.Peter Asher CBE (born 22 June 1944) is a British guitarist, singer, manager and record producer.",When was the record producer that produced Love Has Come for You born? ,22 June 1944,"The Love Has Come for You record producer was born on August 15, 1956."
"Serenity is the second studio album by German Eurodance band Culture Beat, released in 1993. It also spent ten weeks at number one on the ""RPM"" Dance chart in Canada.","How many weeks did the lead single from Culture Beat's second studio album spend at number one on the ""RPM"" Dance chart in Canada?",ten weeks,"The lead single from Culture Beat's second studio album, Serenity, was a commercial failure in Canada."
" The Walloon Legion served in the Wehrmacht, later in the Waffen-SS, on the Eastern Front on both front line and reserve duties.The Eastern Front of World War II was a theatre of conflict between the European Axis powers and co-belligerent Finland against the Soviet Union, Poland and other Allies, which encompassed Northern, Southern and Central and Eastern Europe from 22 June 1941 to 9 May 1945.","Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?",World War II,Walloon Legion served on the Eastern Front during a different war.
"Something's Got to Give is an unfinished 1962 American feature film, directed by George Cukor for Twentieth Century-Fox and starring Marilyn Monroe, Dean Martin and Cyd Charisse. A remake of ""My Favorite Wife"" (1940), a screwball comedy starring Cary Grant and Irene Dunne, it was Monroe's last work, but from the beginning its production was disrupted by her personal troubles, and after her death on August 5, 1962, the film was abandoned.Marilyn Monroe (born Norma Jeane Mortenson; June 1, 1926 – August 5, 1962) was an American actress and model. Famous for playing comic ""dumb blonde"" characters, she became one of the most popular sex symbols of the 1950s and was emblematic of the era's attitudes towards sexuality.","Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?","August 5, 1962",Marilyn Monroe died after completing the film.
Charley and the Angel is a 1973 Disney family/comedy film set in an unidentified small city in the 1930s Depression-era Midwestern United States and starring Fred MacMurray in one of his final film appearances and his last movie for Disney.Planes is a 2013 American 3D computer-animated sports comedy film produced by DisneyToon Studios and released by Walt Disney Pictures.,"Which was released second, Charley and the Angel or Planes?",Planes,Charley and the Angel was released second.
Pride Divide is a 1997 documentary film directed by Paris Poirier. It examines the issues within the LGBT community relating to apparent divisions between lesbians and gay men.The Big Melt is a documentary film about the Sheffield steel industry which combines archive footage with a live soundtrack.,Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?,Pride Divide,The Big Melt documents the issues surrounding the LGBT community.
" It is heavily influenced by the film ""Blade Runner"" and is centered on the lives of a dedicated group of all-female police officers with protecting Tokyo from an invasion of extra-dimensional creatures called Lucifer Hawks.Blade Runner is a 1982 American neo-noir science fiction film directed by Ridley Scott and starring Harrison Ford, Rutger Hauer, Sean Young, and Edward James Olmos.",Silent Möbius is heavily influenced by the movie directed by whom?,Ridley Scott,"Silent Möbius is heavily influenced by the movie ""The Terminator""."
"Colbie Marie Caillat ( ; born May 28, 1985) is an American singer, songwriter, guitarist and pianist from Thousand Oaks, California. She was also part of the group that won Album of the Year at the 2010 Grammy Awards for her background vocals and writing on Taylor Swift's ""Fearless"" album.Fearless is the second studio album by the American singer-songwriter Taylor Swift.",What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?,second,Seventh.
